#filename, type
Ab13f.dat.fix, A0V
Bb14.dat.fix, A0V
Bb20.dat.fix, A0V
Ab14f.dat.fix, A1V
Bb17.dat.fix, A1V
Ab70f.dat.fix, A2I
Ab15f.dat.fix, A2V
Bb16.dat.fix, A2V
Bb18.dat.fix, A2V
Bb23.dat.fix, A2V
Ab16f.dat.fix, A3V
Bb19.dat.fix, A3V
Ab17f.dat.fix, A5V
Bb24.dat.fix, A5V
Bb28.dat.fix, A5V
Ab18f.dat.fix, A7V
Bb22.dat.fix, A7V
Ab67f.dat.fix, B1I
Ab66f.dat.fix, B0I
Ab5f.dat.fix, B0V
Ab6f.dat.fix, B1V
Ab7f.dat.fix, B2V
Ab8f.dat.fix, B3V
Ab68f.dat.fix, B5I
Ab9f.dat.fix, B5V
Bb11.dat.fix, B6V
Bb12.dat.fix, B7V
Ab69f.dat.fix, B8I
Ab11f.dat.fix, B8V
Ab12f.dat.fix, B9V
Bb13.dat.fix, B9V
Bb15.dat.fix, B9V
Bb21.dat.fix, B9V
Ab71f.dat.fix, F0I
Ab72f.dat.fix, F2I
Ab19f.dat.fix, F2V
Bb31.dat.fix, F4V
Ab20f.dat.fix, F5V
Ab21f.dat.fix, F6V
Bb33.dat.fix, F6V
Ab22f.dat.fix, F7V
Ab73f.dat.fix, F8I
Ab23f.dat.fix, F8V
Bb35.dat.fix, F8V
Bb38.dat.fix, F8V
Bb41.dat.fix, F8V
Bb42.dat.fix, F8V
Bb37.dat.fix, F9V
Ab74f.dat.fix, G0I
Ab24f.dat.fix, G0V
Bb36.dat.fix, G0V
Ab25f.dat.fix, G1V
Ab75f.dat.fix, G2I
Ab26f.dat.fix, G2V
Bb45.dat.fix, G2V
Bb46.dat.fix, G2V
Ab27f.dat.fix, G5V
Bb44.dat.fix, G5V
Bb51.dat.fix, G5V
Ab76f.dat.fix, G8I
Bb49.dat.fix, G8V
Bb53.dat.fix, G8V
Bb54.dat.fix, G8V
Ab28f.dat.fix, K0V
Bb48.dat.fix, K0V
Ab29f.dat.fix, K3V
Bb56.dat.fix, K3V
Bb57.dat.fix, K4V
Ab30f.dat.fix, K5V
Bb63.dat.fix, K7V
Bb64.dat.fix, K7V
Bb59.dat.fix, K8V
Ab31f.dat.fix, K9V
Ab32f.dat.fix, M0V
Bb61.dat.fix, M0V
Bb65.dat.fix, M0V
Bb66.dat.fix, M0V
Ab77f.dat.fix, M1I
Ab33f.dat.fix, M1V
Ab34f.dat.fix, M2V
Bb67.dat.fix, M2V
Bb68.dat.fix, M4V
Bb71.dat.fix, M5V
Ab35f.dat.fix, M6V
Bb69.dat.fix, M6V
Bb70.dat.fix, M8V
Ab1f.dat.fix, O5V
Ab64f.dat.fix, O7I
Ab2f.dat.fix, O7V
Ab3f.dat.fix, O8V
Ab65f.dat.fix, O9I
Ab4f.dat.fix, O9V
